Show,Episode,Parts,GapSeconds,,,,,
Blood+,First Kiss,2,364,,,,,
Blood+,Magic Words,2,365,,,,,
Blood+,The Place Where It All Began,2,365,,,,,
Blood+,Dangerous Boy,2,365,,,,,
Blood+,Beyond The Dark Forest,2,364,,,,,
Blood+,My Father's Hands,2,322,,,,,
Blood+,I Must Do It,2,365,,,,,
Blood+,Phantom Of The School,2,365,,,,,
Blood+,Rainbow For Each,2,295,,,,,
Blood+,I Want To See You,2,364,,,,,
Blood+,After The Dance,2,364,,,,,
Blood+,Lured By The White Mist,2,365,,,,,
Blood+,Jungle Paradise,2,365,,,,,
Blood+,The Last Sunday,2,360,,,,,
Blood+,I Want To Pursue!,2,360,,,,,
Blood+,Siberian Express,2,270,,,,,
Blood+,Do You Remember The Promise,2,361,,,,,
Blood+,Moon Over Ekaterinburg,2,339,,,,,
Blood+,Broken Heart,2,325,,,,,
Blood+,Chevalier,2,360,,,,,
Blood+,Sour Grapes,2,347,,,,,
Blood+,The Zoo,2,360,,,,,
Blood+,Two Chevaliers,2,352,,,,,
Blood+,Airy Singing Voice,2,360,,,,,
Blood+,The Red Shield,2,360,,,,,
Blood+,Those Who Serve Saya,2,365,,,,,
Blood+,Paris Je T'aime,2,365,,,,,
Blood+,Limited Existence,2,364,,,,,
Blood+,Cursed Blood,2,365,,,,,
Blood+,Joel's Diary,2,365,,,,,
Blood+,Breaking Shield,2,362,,,,,
Blood+,A Boy Meets Girl,2,365,,,,,
Blood+,The Power Of Believing,2,365,,,,,
Blood+,The World Where We Exist,2,365,,,,,
Blood+,Tomorrow Without Hope,2,364,,,,,
Blood+,Mismatched Feelings,2,365,,,,,
Blood+,To The Sheer Level Of Madness,2,365,,,,,
Blood+,The Showdown Island,2,365,,,,,
Blood+,"The Magic Words, Once More",2,365,,,,,
Blood+,Dreams That Chevaliers Dream,2,365,,,,,
Blood+,The Place Where I Belong,2,365,,,,,
Blood+,Soprano Of Miracles,2,365,,,,,
Blood+,Confused Heart,2,364,,,,,
Blood+,Into The Light,2,364,,,,,
Blood+,Turn The Palm Of Your Hand Toward The Sun,2,365,,,,,
Blood+,May Tomorrow Be A Clear Day,2,365,,,,,
Blood+,Beyond All Blood,2,365,,,,,
Blood+,Skyscraper Opera,2,365,,,,,
Blood+,Two Queens,2,365,,,,,
Dragon Ball,The Secret Of The Dragon Balls,2,321,,,,,
Dragon Ball,The Emperor's Quest,2,321,,,,,
Dragon Ball,The Nimbus Cloud Of Roshi,2,321,,,,,
Dragon Ball,Oolong The Terrible,2,320,,,,,
Dragon Ball,Yamcha The Desert Bandit,2,320,,,,,
Dragon Ball,Keep An Eye On The Dragon Balls,2,320,,,,,
Dragon Ball,The Ox King On Fire Mountain,2,320,,,,,
Dragon Ball,The Kamehameha Wave,2,322,,,,,
Dragon Ball,Boss Rabbit's Magic Touch,2,322,,,,,
Dragon Ball,The Dragon Balls Are Stolen!,2,322,,,,,
Dragon Ball,The Penalty Is Pinball,2,321,,,,,
Dragon Ball,A Wish To The Eternal Dragon,2,322,,,,,
Dragon Ball,The Legend Of Goku,2,321,,,,,
Dragon Ball,Goku's Rival,2,321,,,,,
Dragon Ball,Look Out For Launch,2,321,,,,,
Dragon Ball,Find That Stone!,2,321,,,,,
Dragon Ball,Milk Delivery,2,321,,,,,
Dragon Ball,The Turtle Hermit Way,2,321,,,,,
Dragon Ball,The Tournament Begins,2,321,,,,,
Dragon Ball,Elimination Round,2,321,,,,,
Dragon Ball,Smells Like Trouble,2,321,,,,,
Dragon Ball,Quarterfinals Continue,2,321,,,,,
Dragon Ball,Monster Beast Giran,2,321,,,,,
Dragon Ball,Krillin's Frantic Attack,2,321,,,,,
Dragon Ball,Danger From Above,2,321,,,,,
Dragon Ball,The Grand Finals,2,321,,,,,
Dragon Ball,Number One Under The Moon,2,321,,,,,
Dragon Ball,The Final Blow,2,321,,,,,
Dragon Ball,The Roaming Lake,2,322,,,,,
Dragon Ball,Pilaf And The Mystery Force,2,321,,,,,
Dragon Ball,Wedding Plans,2,321,,,,,
Dragon Ball,The Flying Fortress - Vanished!,2,321,,,,,
Dragon Ball,The Legend Of A Dragon,2,321,,,,,
Dragon Ball,Cruel General Red,2,322,,,,,
Dragon Ball,Cold Reception,2,322,,,,,
Dragon Ball,Major Metallitron,2,321,,,,,
Dragon Ball,Ninja Murasaki Is Coming!,2,321,,,,,
Dragon Ball,Five Murasakis,2,321,,,,,
Dragon Ball,Mysterious Android No 8,2,322,,,,,
Dragon Ball,Horrifying Buyon,2,321,,,,,
Dragon Ball,The Fall Of Muscle Tower,2,322,,,,,
Dragon Ball,The Secret Of Dr. Flappe,2,322,,,,,
Dragon Ball,A Trip To The City,2,322,,,,,
Dragon Ball,"Master Thief, Hasky",2,322,,,,,
Dragon Ball,Danger In The Air,2,322,,,,,
Dragon Ball,Bulma's Bad Day,2,321,,,,,
Dragon Ball,Kame House - Found!,2,322,,,,,
Dragon Ball,Deep Blue Sea,2,321,,,,,
Dragon Ball,Roshi Surprise,2,322,,,,,
Dragon Ball,The Trap Is Sprung,2,322,,,,,
Dragon Ball,Beware Of Robot,2,322,,,,,
Dragon Ball,The Pirate Treasure,2,322,,,,,
Dragon Ball,"Blue, Black And Blue",2,322,,,,,
Dragon Ball,Escape From Pirate Cave,2,321,,,,,
Dragon Ball,Penguin Village,2,321,,,,,
Dragon Ball,Strange Visitor,2,321,,,,,
Dragon Ball,Arale Vs. Blue,2,321,,,,,
Dragon Ball,The Land Of Korin,2,322,,,,,
Dragon Ball,The Notorious Mercenary,2,321,,,,,
Dragon Ball,Tao Attacks!,2,322,,,,,
Dragon Ball,Korin Tower,2,322,,,,,
